day 	initialHeight 	distanceClimbed 	heightClimbing 	heightSlidinge
1	0	3	3	2
2	2	2.85	4.85	3.85
3	3.85	2.7	6.55	5.55
4	5.55	2.55	8.1	7.1
5	7.1	2.4	9.5	8.5
6	8.5	2.25	10.75	9.75
7	9.75	2.1	11.85	10.85
8	10.85	1.95	12.8	11.8
9	11.8	1.8	13.6	12.6
10	12.6	1.65	14.25	13.25
11	13.25	1.5	14.75	13.75
12	13.75	1.35	15.1	14.1
13	14.1	1.2	15.3	14.3
14	14.3	1.05	15.35	14.35
15	14.35	0.9	15.25	14.25
16	14.25	0.75	15	14
17	14	0.6	14.6	13.6
18	13.6	0.45	14.05	13.05
19	13.05	0.3	13.35	12.35
20	12.35	0.15	12.5	11.5
21	11.5	-3.57628e-007	11.5	10.5
failure on day 21
